機器番号,型式,製造番号,機器分類,簡易表示,部署名
なし,3077,1509265,WJ循環器CRM,3077,循環器
なし,3085,1507201,WJ循環器CRM,3085,循環器
DC-7218,4272G2001,4.27211424e+14,検査機器,4272G2001,管理部
なし,6143902766,なし,検査機器,6143902766,管理部
なし,89013,18800215,WJ循環器AF,89013,循環器
なし,89013,19935153,WJ循環器AF,89013,循環器
なし,9000-067768,①,検査機器,9000-067768,管理部
なし,9000-067768,②,検査機器,9000-067768,管理部
なし,91-0127-04 (04582350611656),L/N  42/2023,その他,9127-04,管理部
なし,98-0061-25 (04582350611670),L/N  53/2023,その他,98-0061-25,管理部
なし,AAA-30194,3,検査機器,AAA-30194,システム
DC-9130,AE-120A,575,治療器救急関連機器,AE-120A,管理部
DC-10515,AE-120A,673,検査機器,AE-120A,管理部
なし,AE-920P,66,検査機器,AE-920P,管理部
DC-8791,AED-2151,4746,AED,AED-2151,管理部
DC-9994,AED-3100,365146,治療器救急関連機器,AED-3100,管理部
DC-8792,AED-3100NX,319379,AED,AED-3100,管理部
DC-6233,AED-3150,156,AED,AED-3150,管理部
DC-6235,AED-3150,158,AED,AED-3150,静岡
DC-6248,AED-3151,108,AED,AED-3151,管理部
DC-6250,AED-3151,110,AED,AED-3151,静岡
DC-10477,AED-3151-01,23885,AED,AED-3151,管理部
DC-10072,AED-3200,83,AED,AED-3200,管理部
DC-10073,AED-3200,41,AED,AED-3200,静岡
DC-10074,AED-3200,42,AED,AED-3200,管理部
DC-7568,AED-3250,93,AED,AED-3250,管理部
DC-7569,AED-3250,94,AED,AED-3250,静岡
DC-8375,AED-M100トレーニングユニット,65,AED,AED-M100トレーニングユニット,管理部
DC-8376,AED-M100トレーニングユニット,66,AED,AED-M100トレーニングユニット,管理部
DC-8377,AED-M100トレーニングユニット,67,AED,AED-M100トレーニングユニット,静岡
なし,AF-101P,609,モニタ,AF-101P,管理部
DC-7077,AF-201P,140,モニタ,AF-201P,管理部
DC-7078,AF-201P,141,モニタ,AF-201P,管理部
なし,AF-201P,155,モニタ,AF-201P,浜松
DC-7431,AF-201P,960,モニタ,AF-201P,管理部
DC-9242,AF-201P,3363,モニタ,AF-201P,管理部
DC-9243,AF-201P,3345,モニタ,AF-201P,管理部
DC-10798,AF-201P,4453,検査機器,AF-201P,管理部
DC-10799,AF-201P,4454,検査機器,AF-201P,管理部
DC-10800,AF-201P,4455,検査機器,AF-201P,管理部
なし,AMPERE-GRC,15498658,WJ循環器AF,AMPERE-GRC,循環器
なし,AMPERE-GRC,18719693,WJ循環器AF,AMPERE-GRC,循環器
なし,AMPERE-RFG,15594812,WJ循環器AF,AMPERE-RFG,循環器
なし,AMPERE-RFG,18754465,WJ循環器AF,AMPERE-RFG,循環器
なし,ARV01,なし,検査機器,ARV01,管理部
なし,ARV057,BT2311,検査機器,ARV057,管理部
DC-8353,ARV058(MS-3000),SSS000062,WJ検査機器,ARV058,管理部
なし,AWS-S200,D100038,WJ救急麻酔,AWS-S200,管理部
DC-4750,AWS-S200,D100659,WJ救急麻酔,AWS-S200,横浜西
DC-5167,AWS-S200,D101544,WJ救急麻酔,AWS-S200,相模原
DC-5168,AWS-S200,D101545,WJ救急麻酔,AWS-S200,三島
DC-5169,AWS-S200,495,WJ救急麻酔,AWS-S200,静岡
DC-5170,AWS-S200,D101547,WJ救急麻酔,AWS-S200,浜松
DC-6925,AX-301D,883,計測器,AX-301D,システム
DC-8277,AX-301D-01,20029,検査機器,AX-301D,システム
なし,AX-410G,0339553,治具,AX-410G,管理部
DC-8147,AX-510B,19,検査機器,AX-510B,管理部
DC-5835,AY-663P(CSM-1502_64),24188,モニタ,AY-663P,管理部
DC-10048,B10NMAT#ABJ,JPH450XVJT,システム,B10NMAT#ABJ,システム
JC-0007,Blackmagic Desing,11874825,その他,Blackmagic Desing,管理部
なし,BR-993P,なし,モニタ,BR-993P,管理部
DC-9983,BSM-1763,23462,モニタ,BSM-1763,管理部
DC-9984,BSM-1763,23463,モニタ,BSM-1763,管理部
DC-9985,BSM-1763,23464,モニタ,BSM-1763,管理部
DC-9986,BSM-1763,23465,モニタ,BSM-1763,管理部
DC-9987,BSM-1763,23466,モニタ,BSM-1763,管理部
DC-9988,BSM-1763,23467,モニタ,BSM-1763,管理部
DC-9989,BSM-1763,23468,モニタ,BSM-1763,管理部
DC-9131,BSM-3562-Q91,6996,モニタ,BSM-3562-Q91,管理部
DC-9676,BSM-5762,61,モニタ,BSM-5762,管理部
DC-9677,BSM-5762,62,モニタ,BSM-5762,管理部
DC-9678,BSM-5762,63,モニタ,BSM-5762,静岡
DC-9754,BSM-5762,94,モニタ,BSM-5762,厚木MMG
DC-9755,BSM-5762,95,モニタ,BSM-5762,管理部
なし,BSM-WEP用アダプタ　75×75,なし,モニタ,BSM-WEP用アダプタ　75×75,管理部
なし,CC-120B,234,検査機器,CC-120B,管理部
なし,CC-942B,1248,検査機器,CC-942B,管理部
DC-7036,CCPRO2,TZ1121256,WJ検査機器,CCPRO2,管理部
DC-6652,CCXS ｺｱｸﾞﾁｪｯｸXS,UP01615174,WJ検査機器,CCXS ｺｱｸﾞﾁｪｯｸXS,管理部
DC-6653,CCXS ｺｱｸﾞﾁｪｯｸXS,UP01615181,WJ検査機器,CCXS ｺｱｸﾞﾁｪｯｸXS,管理部
DC-7290,CHM-4100,2797,検体,CHM-4100,管理部
DC-7510,CHM-4100,3383,検体,CHM-4100,管理部
DC-7511,CHM-4100,3384,検体,CHM-4100,三島
DC-9056,CHM-4100,4666,検体,CHM-4100,管理部
DC-9057,CHM-4100,4667,検体,CHM-4100,静岡
DC-7528,CNS-2101,51,モニタ,CNS-2101,管理部
DC-7547,CNS-2101,75,モニタ,CNS-2101,管理部
DC-7548,CNS-2101,76,モニタ,CNS-2101,管理部
DC-10844,CNS-2101,2813,モニタ,CNS-2101,管理部
DC-10845,CNS-2101,2814,モニタ,CNS-2101,管理部
DC-10846,CNS-2101,2815,モニタ,CNS-2101,管理部
DC-6248,CPR-1100,511,AED,CPR-1100,管理部
DC-6277,CPR-A,DC-6277,WJ救急麻酔,CPR-A,管理部
DC-6283,CPR-A,DC-6283,WJ救急麻酔,CPR-A,静岡
なし,CPR-B,AJZ1,治療器救急関連機器,CPR-B,静岡
なし,CPR-B,AJZ2,治療器救急関連機器,CPR-B,静岡
なし,CPR-B,BYV,治療器救急関連機器,CPR-B,厚木MMG
なし,CPR-B,1,治療器救急関連機器,CPR-B,管理部
なし,CPR-B,2,治療器救急関連機器,CPR-B,管理部
なし,CPR-B,3,治療器救急関連機器,CPR-B,管理部
なし,CPR-B,4,治療器救急関連機器,CPR-B,管理部
なし,CPR-B,5,AED,CPR-B,管理部
なし,CPR-B,6,AED,CPR-B,管理部
なし,CPR-B,7,AED,CPR-B,管理部
なし,CPR-B,8,AED,CPR-B,管理部
DC-6278,CPR-B,9,WJ救急麻酔,CPR-B,管理部
DC-6279,CPR-B,10,WJ救急麻酔,CPR-B,管理部
DC-6284,CPR-B,DC-6284,WJ救急麻酔,CPR-B,浜松
DC-6285,CPR-B,DC-6285,WJ救急麻酔,CPR-B,浜松
なし,CPR-B,A,AED,CPR-B,管理部
なし,CPR-B,B,AED,CPR-B,管理部
なし,CPR-B,C,AED,CPR-B,管理部
なし,CPR-B,D,AED,CPR-B,管理部
なし,CPR-B,E,AED,CPR-B,管理部
なし,CPR-B,F,AED,CPR-B,管理部
なし,CPR-C,1,AED,CPR-C,管理部
DC-4203,CRT-1000,30,システム,CRT-1000,システム
DC-5835,CSM-1502,64,モニタ,CSM-1502,管理部
DC-5958,CSM-1502,241,モニタ,CSM-1502,管理部
DC-5959,CSM-1502,242,モニタ,CSM-1502,管理部
DC-6014,CSM-1502,43,モニタ,CSM-1502,管理部
DC-6015,CSM-1502,44,モニタ,CSM-1502,平塚
DC-5960,CSM-1502(CU-152R),243,モニタ,CSM-1502,静岡
DC-10766,CU-152R(CSM-1502),6654,モニタ,CU-152R,管理部
DC-6136,CU-172R(CSM-1702),48,モニタ,CU-172R,管理部
DC-6137,CU-172R(CSM-1702),49,モニタ,CU-172R,管理部
なし,CU-172R(CSM-1702),528,モニタ,CU-172R,管理部
DC-10785,CU-172R(CSM-1702),4946,モニタ,CU-172R,管理部
DC-10786,CU-172R(CSM-1702),4947,モニタ,CU-172R,管理部
DC-5002,CWS4000,200019-A,WJ救急麻酔,CWS4000,管理部
なし,CWS4000,200491-A,WJ救急麻酔,CWS4000,管理部
なし,CWS4000,200534,WJ救急麻酔,CWS4000,管理部
DC-6097,CWS5000,700052,WJ救急麻酔,CWS5000,管理部
DC-6098,CWS5000,700053,WJ救急麻酔,CWS5000,管理部
DC-6099,CWS5000,700054,WJ救急麻酔,CWS5000,相模原
DC-6100,CWS5000,700055,WJ救急麻酔,CWS5000,静岡
DC-6339,CWS5000,700393,WJ救急麻酔,CWS5000,管理部
DC-6340,CWS5000,700394,WJ救急麻酔,CWS5000,平塚
DC-6341,CWS5000,700395,WJ救急麻酔,CWS5000,三島
DC-6342,CWS5000,700396,WJ救急麻酔,CWS5000,浜松
DC-10733,DC-200B(MEE-2000),759,検査機器,DC-200B,管理部
DC-7091,DC-960B,23,検査機器,DC-960B,システム
DC-10567,DC-960B(MEB-9600),737,検査機器,DC-960B,管理部
なし,DH-223P,948869,モニタ,DH-223P,管理部
DC-7109,DH-331Z,なし,人工呼吸器,DH-331Z,システム
DC-6136,DM-150P,DC-6136,モニタ,DM-150P,管理部
DC-6137,DM-150P,DC-6137,モニタ,DM-150P,管理部
DC-9880,DSC-5500,310,検査機器,DSC-5500,管理部
DC-3733,DTK-2241/Medical,3GDQ000179,システム,DTK-2241/Medical,システム
DC-2396,ECG-1950,7,検査機器,ECG-1950,管理部
DC-9121,ECG-2450,4476,検査機器,ECG-2450,管理部
DC-9122,ECG-2450,4478,検査機器,ECG-2450,相模原
DC-9990,ECG-2450,5027,検査機器,ECG-2450,管理部
DC-9991,ECG-2450,5028,検査機器,ECG-2450,管理部
DC-9123,ECG-2550-01,20407,検査機器,ECG-2550,管理部
DC-9124,ECG-2550-01,20409,検査機器,ECG-2550,静岡
